NC1	NC2	NC3	PDR1	PDR2	PDR3
A0A024R644	7.06931549454008	6.87282875953489	6.89845023280787	6.77214959078454	6.83162393682075	6.79311555527435
A0A075B6H7	6.55765515472542	6.57288966842058	6.58496250072116	6.48220292629596	6.53605290024021	6.50620838930675
A0A075B6H9	6.40599235967584	6.31650781910311	6.37851162325373	6.09592441999854	6.21334728173344	6.13750352374993
A0A075B6I0	6.06177619758669	6.5713734359732	5.86294724802092	6.95535930524299	6.67101024127845	6.49185309632967
A0A075B6I1	6.25550073314839	6.19377174339668	6.32373033752135	6.88874324889826	6.92718535782637	6.97039353791468
A0A075B6I9	6.24982454861618	6.20554891117303	6.2460279805281	6.47735352663456	6.51412226017071	6.51254295509686
A0A075B6J9	6.5077946401987	6.5453506448223	6.60880924267552	6.84924870276441	6.89481776330794	6.83289001416474
A0A075B6K0	6.44294349584873	6.56529252058102	6.37677657188298	6.74819284958946	6.71149490665009	6.69766263347052
A0A075B6K4	6.2667865406949	6.26491169307446	6.33091687811462	6.80477637795583	6.85673675611911	6.87159726561385
A0A075B6K5	6.4110872267986	6.5298209465287	6.41616416473313	6.62351574149055	6.70321146739115	6.5909612413426
A0A075B6R2	6.30012372456901	6.29829173062012	6.39746072605472	6.467605550083	6.50303064564116	6.63081315229913
A0A075B6R9	6.20359271420771	6.20750245925879	6.13545278418517	6.52042224852645	6.56071495447448	6.59395128394841
A0A075B7B8	6.50462039240355	6.57893871309339	6.467605550083	6.67383905599044	6.68650052718322	6.6724253419715
A0A075B7D0	6.16188768237689	6.21334728173344	6.29278174922785	6.98413359454098	7.06716542701711	7.08321336824898
A0A087WSV8	7.25077213159993	7.09064175191785	6.84423498775875	6.71287086768991	6.78659636189081	6.61028665708102
A0A087WSX0	6.16390121381454	5.96578428466209	6.06824086131282	6.20750245925879	6.32192809488736	6.39231742277876
A0A087WSY4	6.93310047493137	6.97039353791468	6.92837032301897	6.54689445988764	6.53605290024021	6.47735352663456
A0A087WTY6	7.3671963100259	7.35226417325832	7.34429590791582	6.34340782229781	6.32553033156756	6.31288295528436
A0A087WV75	7.04001567884788	6.98299357469431	7.01010845347429	6.43629511983936	6.5077946401987	6.4178525148859
A0A087WW87	6.38024459047818	6.37851162325373	6.41447383643093	6.58496250072116	6.62789861587175	6.62935662007961
A0A087WWT2	6.85549144310187	6.71699089440494	6.8073549220576	6.4757334309664	6.54689445988764	6.57288966842058
A0A087WWT3	6.52512925120397	6.5894638929561	6.57742882803575	6.69488019279919	6.64529816394863	6.63952159951083
A0A087WXW9	6.37851162325373	6.40769264866568	6.34695688937888	6.30560578958543	6.29829173062012	6.3110671022556
A0A087WZM2	7.28355142317431	7.21916852046216	7.25833047261243	6.49345520092618	6.49984588708321	6.43462822763672
A0A087X089	6.05961485629722	6.09169983413681	6.29278174922785	6.96347412397489	6.90568784852686	6.79051141189419
A0A096LPE2	6.41616416473313	6.33985000288462	6.4594316186373	6.37851162325373	6.49505552836802	6.43295940727611
A0A0A0MQT0	6.77478705960117	6.66106547980695	6.75622271284729	6.15583017155653	6.08746284125034	6.36282052553426
A0A0A0MRJ7	7.36106648879432	7.33628338786443	7.34872815423108	6.47735352663456	6.50303064564116	6.38715571766298
A0A0A0MRZ8	6.59842476052772	6.56071495447448	6.60436789989375	6.46107011403305	6.50937914891469	6.47248777146274
A0A0A0MS09	5.27052894238072	5.32192809488736	5.34340782229781	5.8073549220576	5.75221336786514	5.79181407116183
A0A0A0MS15	6.64961545906341	6.56833618213375	6.63372181264101	6.49984588708321	6.44956137461324	6.47735352663456
A0A0A0MS64	7.06931549454008	7.13955135239879	7.08746284125034	6.68088692071969	6.6906964439777	6.5298209465287
A0A0A0MSY2	6.16591193893569	6.14159627838382	6.13134253912326	7.29001884693262	7.32732808262995	7.53605290024021
