dataset	sample	protein	intensities	group	ocular.region	labeling	Instrument
1	Data1	NC1	A0A024R644	0.633604715775888	NC	vitreous	Yes	Orbitrap Fusion
2	Data1	NC1	A0A075B6H7	-0.298876812200453	NC	vitreous	Yes	Orbitrap Fusion
3	Data1	NC1	A0A075B6H9	-0.575276493512915	NC	vitreous	Yes	Orbitrap Fusion
4	Data1	NC1	A0A075B6I0	-1.20259736988826	NC	vitreous	Yes	Orbitrap Fusion
5	Data1	NC1	A0A075B6I1	-0.849541764694173	NC	vitreous	Yes	Orbitrap Fusion
6	Data1	NC1	A0A075B6I9	-0.859886395328593	NC	vitreous	Yes	Orbitrap Fusion
7	Data1	NC1	A0A075B6J9	-0.389745705397076	NC	vitreous	Yes	Orbitrap Fusion
8	Data1	NC1	A0A075B6K0	-0.507934451854106	NC	vitreous	Yes	Orbitrap Fusion
9	Data1	NC1	A0A075B6K4	-0.828973809262581	NC	vitreous	Yes	Orbitrap Fusion
10	Data1	NC1	A0A075B6K5	-0.565991291769134	NC	vitreous	Yes	Orbitrap Fusion
11	Data1	NC1	A0A075B6R2	-0.768218058350518	NC	vitreous	Yes	Orbitrap Fusion
12	Data1	NC1	A0A075B6R9	-0.944142156887091	NC	vitreous	Yes	Orbitrap Fusion
13	Data1	NC1	A0A075B7B8	-0.39553065139321	NC	vitreous	Yes	Orbitrap Fusion
14	Data1	NC1	A0A075B7D0	-1.02014799275075	NC	vitreous	Yes	Orbitrap Fusion
15	Data1	NC1	A0A087WSV8	0.964302542088375	NC	vitreous	Yes	Orbitrap Fusion
16	Data1	NC1	A0A087WSX0	-1.01647840821292	NC	vitreous	Yes	Orbitrap Fusion
17	Data1	NC1	A0A087WSY4	0.385358018241993	NC	vitreous	Yes	Orbitrap Fusion
18	Data1	NC1	A0A087WTY6	1.17648118355072	NC	vitreous	Yes	Orbitrap Fusion
19	Data1	NC1	A0A087WV75	0.580206914969231	NC	vitreous	Yes	Orbitrap Fusion
20	Data1	NC1	A0A087WW87	-0.622200824548824	NC	vitreous	Yes	Orbitrap Fusion
21	Data1	NC1	A0A087WWT2	0.243918506609442	NC	vitreous	Yes	Orbitrap Fusion
22	Data1	NC1	A0A087WWT3	-0.358154035495651	NC	vitreous	Yes	Orbitrap Fusion
23	Data1	NC1	A0A087WXW9	-0.62535909146859	NC	vitreous	Yes	Orbitrap Fusion
24	Data1	NC1	A0A087WZM2	1.02404155548216	NC	vitreous	Yes	Orbitrap Fusion
25	Data1	NC1	A0A087X089	-1.20653633226477	NC	vitreous	Yes	Orbitrap Fusion
26	Data1	NC1	A0A096LPE2	-0.556738765289665	NC	vitreous	Yes	Orbitrap Fusion
27	Data1	NC1	A0A0A0MQT0	0.0968378341688505	NC	vitreous	Yes	Orbitrap Fusion
28	Data1	NC1	A0A0A0MRJ7	1.16530981726833	NC	vitreous	Yes	Orbitrap Fusion
29	Data1	NC1	A0A0A0MRZ8	-0.224575754730783	NC	vitreous	Yes	Orbitrap Fusion
30	Data1	NC1	A0A0A0MS09	-2.64461542782258	NC	vitreous	Yes	Orbitrap Fusion
31	Data1	NC1	A0A0A0MS15	-0.131282651720242	NC	vitreous	Yes	Orbitrap Fusion
32	Data1	NC1	A0A0A0MS64	0.633604715775888	NC	vitreous	Yes	Orbitrap Fusion
33	Data1	NC1	A0A0A0MSY2	-1.01281393808028	NC	vitreous	Yes	Orbitrap Fusion
34	Data1	NC1	A0A0A0MTA3	-0.321301313969768	NC	vitreous	Yes	Orbitrap Fusion
35	Data1	NC1	A0A0A0MTS2	0.964302542088375	NC	vitreous	Yes	Orbitrap Fusion
36	Data1	NC1	A0A0A0MTS7	-0.290516687845115	NC	vitreous	Yes	Orbitrap Fusion
37	Data1	NC1	A0A0B4J1S4	0.853227906604805	NC	vitreous	Yes	Orbitrap Fusion
38	Data1	NC1	A0A0B4J1U7	-1.09463617262421	NC	vitreous	Yes	Orbitrap Fusion
39	Data1	NC1	A0A0B4J1V0	0.0799758448483684	NC	vitreous	Yes	Orbitrap Fusion
40	Data1	NC1	A0A0B4J1V2	-0.366732369025506	NC	vitreous	Yes	Orbitrap Fusion
41	Data1	NC1	A0A0B4J1V7	-1.75217035699078	NC	vitreous	Yes	Orbitrap Fusion
42	Data1	NC1	A0A0B4J1X5	-0.615895649118152	NC	vitreous	Yes	Orbitrap Fusion
43	Data1	NC1	A0A0B4J1Y8	-1.16740976358427	NC	vitreous	Yes	Orbitrap Fusion
44	Data1	NC1	A0A0B4J1Y9	-0.822153424388592	NC	vitreous	Yes	Orbitrap Fusion
45	Data1	NC1	A0A0B4J231	-0.673194071772255	NC	vitreous	Yes	Orbitrap Fusion
46	Data1	NC1	A0A0B4J2B3	0.35723735559244	NC	vitreous	Yes	Orbitrap Fusion
47	Data1	NC1	A0A0B4J2B5	-0.224575754730783	NC	vitreous	Yes	Orbitrap Fusion
48	Data1	NC1	A0A0C4DFU2	-0.735061794320501	NC	vitreous	Yes	Orbitrap Fusion
49	Data1	NC1	A0A0C4DFZ2	0.666677565618477	NC	vitreous	Yes	Orbitrap Fusion
50	Data1	NC1	A0A0C4DG49	0.144427493452206	NC	vitreous	Yes	Orbitrap Fusion
51	Data1	NC1	A0A0C4DGB6	-0.0794218600427551	NC	vitreous	Yes	Orbitrap Fusion
52	Data1	NC1	A0A0C4DH25	-0.358154035495651	NC	vitreous	Yes	Orbitrap Fusion
53	Data1	NC1	A0A0C4DH26	-0.176183157466722	NC	vitreous	Yes	Orbitrap Fusion
54	Data1	NC1	A0A0C4DH31	-0.877218408615225	NC	vitreous	Yes	Orbitrap Fusion
55	Data1	NC1	A0A0C4DH34	-0.615895649118152	NC	vitreous	Yes	Orbitrap Fusion
56	Data1	NC1	A0A0C4DH35	-1.06085510543201	NC	vitreous	Yes	Orbitrap Fusion
57	Data1	NC1	A0A0C4DH38	-0.842667886544786	NC	vitreous	Yes	Orbitrap Fusion
58	Data1	NC1	A0A0C4DH39	-0.86334366984983	NC	vitreous	Yes	Orbitrap Fusion
59	Data1	NC1	A0A0C4DH43	-1.04227370728566	NC	vitreous	Yes	Orbitrap Fusion
60	Data1	NC1	A0A0C4DH72	-0.541389878182575	NC	vitreous	Yes	Orbitrap Fusion
61	Data1	NC1	A0A0G2JHI1	0.444923019603695	NC	vitreous	Yes	Orbitrap Fusion
62	Data1	NC1	A0A0G2JIW1	0.0434747001618663	NC	vitreous	Yes	Orbitrap Fusion
63	Data1	NC1	A0A0G2JLB3	0.684019740657501	NC	vitreous	Yes	Orbitrap Fusion
64	Data1	NC1	A0A0G2JMB2	-1.91217451025147	NC	vitreous	Yes	Orbitrap Fusion
65	Data1	NC1	A0A0G2JNH7	-1.34409806378678	NC	vitreous	Yes	Orbitrap Fusion
66	Data1	NC1	A0A0G2JRQ6	0.223404044453249	NC	vitreous	Yes	Orbitrap Fusion
67	Data1	NC1	A0A0J9YY99	-1.18299059077725	NC	vitreous	Yes	Orbitrap Fusion
68	Data1	NC1	A0A0U1RQC5	0.476286296793497	NC	vitreous	Yes	Orbitrap Fusion
69	Data1	NC1	A0A140TA33	-0.301669437948451	NC	vitreous	Yes	Orbitrap Fusion
70	Data1	NC1	A0A1B0GTB0	0.972920238739815	NC	vitreous	Yes	Orbitrap Fusion
71	Data1	NC1	A0A1C7CYX9	-0.590825071614621	NC	vitreous	Yes	Orbitrap Fusion
72	Data1	NC1	A0A1W2PR46	-1.79126783421315	NC	vitreous	Yes	Orbitrap Fusion
73	Data1	NC1	A0A286YEY1	-1.33166656594887	NC	vitreous	Yes	Orbitrap Fusion
74	Data1	NC1	A0A286YEY5	0.910232999028011	NC	vitreous	Yes	Orbitrap Fusion
75	Data1	NC1	A0A286YFF7	-0.873742853721084	NC	vitreous	Yes	Orbitrap Fusion
76	Data1	NC1	A0A286YFJ8	-0.0310838938502165	NC	vitreous	Yes	Orbitrap Fusion
77	Data1	NC1	A0M8Q6	-2.21220770883106	NC	vitreous	Yes	Orbitrap Fusion
78	Data1	NC1	A1L4H1	-0.221863782448502	NC	vitreous	Yes	Orbitrap Fusion
79	Data1	NC1	A8MV23	0.0775581371887562	NC	vitreous	Yes	Orbitrap Fusion
80	Data1	NC1	B0YIW2	-2.9170981760582	NC	vitreous	Yes	Orbitrap Fusion
81	Data1	NC1	B1AHL2	0.393950368681629	NC	vitreous	Yes	Orbitrap Fusion
82	Data1	NC1	B4DPQ0	0.90494096726245	NC	vitreous	Yes	Orbitrap Fusion
83	Data1	NC1	B4E1Z4	-0.457053675421804	NC	vitreous	Yes	Orbitrap Fusion
84	Data1	NC1	B5MCX6	-1.02750256228618	NC	vitreous	Yes	Orbitrap Fusion
85	Data1	NC1	B7Z6Z4	-0.178848395297138	NC	vitreous	Yes	Orbitrap Fusion
86	Data1	NC1	B7ZL91	-0.358154035495651	NC	vitreous	Yes	Orbitrap Fusion
87	Data1	NC1	C9J2H1	0.387508739748062	NC	vitreous	Yes	Orbitrap Fusion
88	Data1	NC1	C9JB55	0.089624504830848	NC	vitreous	Yes	Orbitrap Fusion
89	Data1	NC1	C9JF17	-0.498883644656533	NC	vitreous	Yes	Orbitrap Fusion
90	Data1	NC1	C9JIF9	-0.919287416415712	NC	vitreous	Yes	Orbitrap Fusion
91	Data1	NC1	C9JIZ6	1.74945140454058	NC	vitreous	Yes	Orbitrap Fusion
92	Data1	NC1	C9JU00	-3.30733249780647	NC	vitreous	Yes	Orbitrap Fusion
93	Data1	NC1	C9JVG0	0.35288428026934	NC	vitreous	Yes	Orbitrap Fusion
94	Data1	NC1	D3YTG3	0.660871327937805	NC	vitreous	Yes	Orbitrap Fusion
95	Data1	NC1	D6RAR4	-0.181516337580408	NC	vitreous	Yes	Orbitrap Fusion
96	Data1	NC1	D6RF35	-2.7488268316455	NC	vitreous	Yes	Orbitrap Fusion
97	Data1	NC1	D6RGZ6	0.42380437679035	NC	vitreous	Yes	Orbitrap Fusion
98	Data1	NC1	E5RIF9	-0.238177734857563	NC	vitreous	Yes	Orbitrap Fusion
99	Data1	NC1	E5RJR5	-0.758227203157747	NC	vitreous	Yes	Orbitrap Fusion
100	Data1	NC1	E7EMB3	0.58818645643405	NC	vitreous	Yes	Orbitrap Fusion
101	Data1	NC1	E7END6	-0.398427904462752	NC	vitreous	Yes	Orbitrap Fusion
102	Data1	NC1	E7EQR8	0.227976666291965	NC	vitreous	Yes	Orbitrap Fusion
103	Data1	NC1	E7ETH0	0.509333165708369	NC	vitreous	Yes	Orbitrap Fusion
104	Data1	NC1	E7EUF1	1.17648118355072	NC	vitreous	Yes	Orbitrap Fusion
105	Data1	NC1	E9PGA6	0.37241661281405	NC	vitreous	Yes	Orbitrap Fusion
106	Data1	NC1	E9PGN7	0.455419069049868	NC	vitreous	Yes	Orbitrap Fusion
107	Data1	NC1	E9PK25	-0.202957898973721	NC	vitreous	Yes	Orbitrap Fusion
108	Data1	NC1	E9PR17	0.617895889990947	NC	vitreous	Yes	Orbitrap Fusion
109	Data1	NC1	F5GWQ8	1.28565937310516	NC	vitreous	Yes	Orbitrap Fusion
110	Data1	NC1	F6S8M0	0.705061559648882	NC	vitreous	Yes	Orbitrap Fusion
111	Data1	NC1	F6SYF8	0.453323208520745	NC	vitreous	Yes	Orbitrap Fusion
112	Data1	NC1	F6WQW2	-1.90188386347674	NC	vitreous	Yes	Orbitrap Fusion
113	Data1	NC1	F8W1S1	1.96216910622051	NC	vitreous	Yes	Orbitrap Fusion
114	Data1	NC1	G3V1C5	1.05924411818075	NC	vitreous	Yes	Orbitrap Fusion
115	Data1	NC1	G3V1N2	-2.28248156399213	NC	vitreous	Yes	Orbitrap Fusion
116	Data1	NC1	G3V3D1	1.26418340975796	NC	vitreous	Yes	Orbitrap Fusion
117	Data1	NC1	G3XA98	0.361583235746439	NC	vitreous	Yes	Orbitrap Fusion
118	Data1	NC1	G3XAK1	-0.392636587375571	NC	vitreous	Yes	Orbitrap Fusion
119	Data1	NC1	G8JLH6	0.813307435317501	NC	vitreous	Yes	Orbitrap Fusion
120	Data1	NC1	H0YAC1	-0.788314387228138	NC	vitreous	Yes	Orbitrap Fusion
121	Data1	NC1	H3BLU2	0.754137413164176	NC	vitreous	Yes	Orbitrap Fusion
122	Data1	NC1	H3BP20	1.14443621778518	NC	vitreous	Yes	Orbitrap Fusion
123	Data1	NC1	H3BR70	0.617895889990947	NC	vitreous	Yes	Orbitrap Fusion
124	Data1	NC1	H3BTH8	-1.68511827779047	NC	vitreous	Yes	Orbitrap Fusion
125	Data1	NC1	H7BY55	0.246188042265735	NC	vitreous	Yes	Orbitrap Fusion
126	Data1	NC1	H7BY58	-0.170860773271579	NC	vitreous	Yes	Orbitrap Fusion
127	Data1	NC1	H7BZJ3	1.18443176987681	NC	vitreous	Yes	Orbitrap Fusion
128	Data1	NC1	H7C013	-0.556738765289665	NC	vitreous	Yes	Orbitrap Fusion
129	Data1	NC1	H7C0L5	-0.699066427100602	NC	vitreous	Yes	Orbitrap Fusion
130	Data1	NC1	H8Y6P7	0.778336054511623	NC	vitreous	Yes	Orbitrap Fusion
131	Data1	NC1	I3L0A0	1.17807322531572	NC	vitreous	Yes	Orbitrap Fusion
132	Data1	NC1	J3KN67	0.0605716468534801	NC	vitreous	Yes	Orbitrap Fusion
133	Data1	NC1	J3KNF6	1.92769045254772	NC	vitreous	Yes	Orbitrap Fusion
134	Data1	NC1	J3KNP4	0.611980798869453	NC	vitreous	Yes	Orbitrap Fusion
135	Data1	NC1	J3KPA1	0.0385693687118516	NC	vitreous	Yes	Orbitrap Fusion
136	Data1	NC1	J3KPS3	0.188853522382809	NC	vitreous	Yes	Orbitrap Fusion
137	Data1	NC1	J3KQ66	0.564174811060834	NC	vitreous	Yes	Orbitrap Fusion
138	Data1	NC1	J3KQC6	-0.477885474563984	NC	vitreous	Yes	Orbitrap Fusion
139	Data1	NC1	J3KQE5	-0.33824610018826	NC	vitreous	Yes	Orbitrap Fusion
140	Data1	NC1	K7ELC2	0.188853522382809	NC	vitreous	Yes	Orbitrap Fusion
141	Data1	NC1	K7ELL7	0.676326225600958	NC	vitreous	Yes	Orbitrap Fusion
142	Data1	NC1	K7ER74	-1.56044182880425	NC	vitreous	Yes	Orbitrap Fusion
143	Data1	NC1	K7ERG9	0.415309193650108	NC	vitreous	Yes	Orbitrap Fusion
144	Data1	NC1	K7ES00	0.214234874237915	NC	vitreous	Yes	Orbitrap Fusion
145	Data1	NC1	M9MML0	-0.102632714116747	NC	vitreous	Yes	Orbitrap Fusion
146	Data1	NC1	O00115	0.903174587018276	NC	vitreous	Yes	Orbitrap Fusion
147	Data1	NC1	O00292	1.29023863155367	NC	vitreous	Yes	Orbitrap Fusion
148	Data1	NC1	O00391	-0.0513285127870721	NC	vitreous	Yes	Orbitrap Fusion
149	Data1	NC1	O00461	-0.731769048875037	NC	vitreous	Yes	Orbitrap Fusion
150	Data1	NC1	O00462	0.664743577377867	NC	vitreous	Yes	Orbitrap Fusion
151	Data1	NC1	O00468	-0.0210197403389344	NC	vitreous	Yes	Orbitrap Fusion
152	Data1	NC1	O00533	0.317797762670538	NC	vitreous	Yes	Orbitrap Fusion
153	Data1	NC1	O00754	1.30999043760748	NC	vitreous	Yes	Orbitrap Fusion
154	Data1	NC1	O14498	0.268776298847132	NC	vitreous	Yes	Orbitrap Fusion
155	Data1	NC1	O14594	0.0114252272571933	NC	vitreous	Yes	Orbitrap Fusion
156	Data1	NC1	O14745	0.689775139295446	NC	vitreous	Yes	Orbitrap Fusion
157	Data1	NC1	O14773	0.906706161618488	NC	vitreous	Yes	Orbitrap Fusion
158	Data1	NC1	O14791	-1.75702586510121	NC	vitreous	Yes	Orbitrap Fusion
159	Data1	NC1	O14793	0.0556981387027028	NC	vitreous	Yes	Orbitrap Fusion
160	Data1	NC1	O15031	0.853227906604805	NC	vitreous	Yes	Orbitrap Fusion
161	Data1	NC1	O15204	-0.224575754730783	NC	vitreous	Yes	Orbitrap Fusion
162	Data1	NC1	O15240	0.515483477038088	NC	vitreous	Yes	Orbitrap Fusion
