NC1	NC2	NC3	NC4	PDR1	PDR2	PDR3	PDR4
O00533	15.0495507927445	15.1381517839469	14.1175619393941	14.5986341147798	14.9433847714432	14.46192702259	15.7499479691962	13.5767205250802
O14773	15.6839540867418	17.224208986401	16.9439799143437	16.7892789093749	15.5043224482919	15.4590793551657	14.4494711001813	15.2972745425014
O15537	15.9820131498921	17.382201827912	16.2154382022241	16.7103490630335	14.3534914649113	15.1281957556175	14.5066175115062	15.1707075013481
O43505	16.9746610530563	17.3450760007804	17.2304145403313	17.6645583935658	16.1518688031414	16.1088715308509	16.0253342506676	16.1147997113068
O75326	16.1034722320694	17.0168300463159	16.4643542972063	16.5995206258809	14.9342437295386	15.5139434413236	15.3024604320654	15.4930736108678
O75882	14.4625022725973	14.4633966502804	14.1625486821999	14.3888245380236	14.6443069615456	15.2080056797605	14.2166700844071	14.1643570143226
O94985	19.1723103005395	20.0698588031041	18.8873574802883	19.3702659576245	18.0096864923123	18.0325193133941	17.2865397133686	17.1771859220806
P00450	21.7029048475113	21.5234872986999	21.2055021385911	21.3774541510445	21.9001386036792	21.4934567646122	21.5027599502727	21.979734990474
P00734	18.7551875106267	18.0871623866251	18.2415363334906	18.2624711100255	19.03095804237	18.5965974369612	18.9854584033868	19.1934724211845
P00746	15.196525287289	15.5958110922039	15.7389103009668	16.0947787337411	15.2400832243791	15.257977058564	13.5262546938286	15.0290714968683
P00747	19.047746988055	18.5164541242579	18.270660334707	18.4202892222195	19.6006316285921	19.0037429862485	18.69842659349	19.0207412635222
P00748	17.1515517403727	16.2560243586	15.8056683100275	16.3873947196408	17.176406929059	16.6490596575702	17.3618752550565	17.0344550953272
P00751	20.3889001948092	19.9954856230165	20.3606756511047	19.4816023717918	20.9123981900748	20.5125823044921	20.6441203309443	20.829815625406
P01008	20.5980525001616	20.5453830758928	20.9620459083474	20.6791707995991	21.1239521350902	20.6514091243884	20.9092514751517	21.4342555994849
P01009	19.6493228478464	19.5919496045666	19.6159564533598	19.2231485537138	20.0715618712275	19.5035656729987	19.8801245654973	19.866258674518
P01011	20.734464864116	20.6144115040972	21.3137377780924	20.9332267153699	21.1119710761528	20.7744267525802	21.1419574337696	21.3501903164548
P01019	19.3519701232695	19.5470790342083	19.4487938618266	19.6090632809741	21.2465550547927	19.6000145104927	20.3418011149224	19.6956598988175
P01023	15.0451197244889	14.5412176417361	14.7101068669078	14.3521813969179	14.258934021404	15.0591331790935	13.6426158406851	13.4182479363056
P01024	22.96611885531	22.3631380453755	22.715486141928	22.5208766487946	23.1897558018761	23.1580462719864	22.9992589084287	23.0177578824287
P01031	18.0744132807716	17.2763061850314	17.5130644403256	17.3658952171607	17.9903699229404	17.9813108453995	18.0038253216736	18.2847789249482
P01042	19.1894722954084	19.0946550441272	19.5267284627222	19.0698063691132	20.1392115820107	19.430330034996	19.6699991975406	19.7801103910837
P01834	13.7607199474656	15.0597246899836	14.8667959585115	14.6120045562862	14.3581017074408	15.6252236781153	14.582612451267	14.4945431166983
P02647	20.2885011377435	20.3584237016484	20.9361059161277	20.8960781027131	20.6542968781412	20.3524012611257	20.4622386448159	20.1154044007739
P02649	17.6499718453164	18.934681429932	19.3763840321383	20.1195896207411	19.241070752746	18.3544043613901	19.7778171529647	18.6958467753134
P02652	15.1116654959545	14.5795516528066	15.9924737036406	16.1235354212017	16.890240523285	15.4447884367548	16.5821860947026	14.9039289057411
P02743	13.2076702189297	13.7004397181411	14.4238381276264	13.1302005110468	15.8497227325704	15.1109726077829	15.5776058494525	15.3731370358021
P02746	15.4704682305134	15.5753324236615	15.7989273810204	16.3448853503623	15.2349296696227	15.8135808029896	15.6564527962292	14.9781741744682
P02747	15.7892024799247	15.8197300452553	15.0454183970308	16.1157752193448	16.5620336858801	15.5705969346105	15.5423064225826	15.4270181459334
P02748	18.1149725055896	17.6637248672792	18.6771071038734	17.7126344677601	18.6046907626935	18.318622243299	18.5714489891743	18.9252067047558
P02749	18.44677638836	17.6444196324848	18.2476216053432	18.8171585514194	19.3105018418134	18.913392003178	17.9533893862722	19.1807833034985
