NC1	NC2	NC3	PDR1	PDR2	PDR3	PDR4	PDR5
A2NJV5	24.7834674933481	22.4071723140088	26.299813095701	25.6025221776936	25.980393258692	22.702207357312	26.52659475339	28.5853809884638
O43196	23.1152773861996	25.988347160455	29.5625272940003	24.3018723687505	23.5861186779712	27.4224595482185	27.8297164454211	29.1547014699275
O94985	26.2236508835789	25.2016489357441	25.10105267992	25.8320973003643	24.8918022410186	23.1158964766556	25.065830587516	24.1781286712212
P00441	22.1899065804932	23.4830845869522	22.9914083560385	22.7288928865942	22.3579943600662	21.6893172492644	22.987406281306	24.8373526745258
P00450	30.8557872490727	28.8125907331208	30.6672092062993	30.4618773578218	30.9467048131216	26.1612141679525	30.4493363644046	32.9256390970654
P00734	28.7014725143048	26.045456559993	28.9386799559255	25.7758035570829	28.1210472351919	24.131005352883	28.4644699075211	30.4583612081243
P00738	31.1552083181014	26.6293701840617	23.3034061866546	24.5788255080881	26.7311739917768	26.127486990242	23.5188135307218	33.6514920980448
P00747	29.5366591184485	27.499296532629	29.6976998952343	27.0126524980118	28.6580932900706	26.0879854119891	29.204594836851	31.2135565346761
P00751	29.9640276167107	28.0129721143867	29.5022022638044	28.4004776614348	28.6569348272198	27.4128836584246	30.1511001384921	31.7598240828522
P01008	28.8544205259052	25.867806031267	29.3806552951288	27.9867425274359	29.4074235705931	24.7979820504476	29.0033794963781	30.099739229321
P01009	27.2670482522148	28.2916255204975	30.8094661588111	29.0231626301525	29.1323200781597	26.8700896151901	29.8807678849697	31.6477449751316
P01011	26.3616698133406	26.5177177996166	29.001179447723	27.1930993845676	28.4999047514579	25.356289149742	29.1801366110509	29.9345241916309
P01019	28.0403020971904	25.6313422745085	27.9339335513813	28.0111600179724	28.5700044833146	23.2491476035136	27.367447146634	29.5564188447271
P01023	28.9567912018622	28.157980762113	28.8725574686701	29.7805357126257	29.3868546866204	25.4087601682364	29.454169715606	33.7289261245955
P01024	31.7868653351293	29.3700693589618	31.3867930299121	29.3045641841666	31.568465028899	27.8203726901467	31.7282571637883	34.1130314505942
P01031	22.937812726816	20.835763617562	23.5516857343529	21.5335027425128	24.2678519571886	19.6705870998846	24.7366030091787	28.6497589252016
P01034	28.7366675174414	29.1944855635574	28.318939727149	27.861891959585	28.0161643897138	26.43364452537	26.6411349231642	28.1202563110448
P01042	29.2461064985548	27.3514444997464	28.9715842481721	26.745990815891	27.9728444114005	24.2905977002193	29.1872345231372	30.7445480405757
P01591	24.1804828523604	18.7438614141974	24.1550683492605	22.8184503325656	23.4663772305559	22.6690390184102	25.9446064446473	29.397787814256
P01619	25.0644743813357	21.8522048738129	23.3114667328489	24.9893653932851	24.3759043400843	23.0553175247077	25.5581245187045	28.5771549552378
P01834	29.4141547110199	27.6135799601249	30.8117642982673	29.2702158251271	29.3311669384443	22.0152925357172	30.1312409141605	31.71272334002
P01859	30.4421349587729	28.2663334717254	30.0518064466661	28.6082309041821	28.798538347679	27.2847153948223	29.4816996734686	30.8739364518633
P01860	30.2015134009876	28.7424936049968	30.6556560311182	29.2183573284574	29.62665763142	27.9972808872298	29.7634458105158	31.5407473074662
P01861	28.3216515202758	22.905987748212	25.8980913248148	26.4968306208392	26.2461200932173	NA	24.6761602558666	31.6008079805768
P01876	30.3357521735955	28.8688541035897	30.2669589240181	29.9046918999944	31.4191071729743	27.4773825321532	31.6581273484291	34.2766965613009
P02647	32.0795048341307	29.2904395090098	31.542501119754	29.2568065546348	30.8458789485046	26.8868116172609	31.6304034373528	34.4419618803682
P02649	29.0629882833647	27.9416210599194	28.2561991845914	27.0800959944846	29.8034276153675	25.4333261550628	30.4601203541719	31.5876358430498
P02652	30.5318531922223	27.4827000220983	29.9995406472099	27.7590700644936	29.6274754117957	26.043601405558	29.8409816747014	32.6066655490982
P02671	26.635056918981	25.4852669727249	28.070352326578	29.1287115282651	29.4417591049678	22.9734423298395	30.063425529933	33.328173350506
P02675	25.4267840328446	26.1170188925696	29.5778032442053	29.1803500572981	30.289670276765	24.0139305388816	31.2656183369238	34.0614955028346
P02679	25.9434890464868	24.1775205164895	28.602755774116	28.3020380299053	29.6329443482982	20.9156839306373	29.872968367474	33.5720394739143
P02748	26.7130594309823	24.6096968286112	24.6886985200986	24.8047419588635	26.2659580701551	20.8045942703706	27.2200194197022	29.4824692339717
P02749	29.9629251655799	28.2788798856895	30.1626697204965	29.0631940629633	29.7829584536361	26.1099047621121	29.9240821044738	31.4051221278953
P02750	22.8595598093637	23.0732629312887	23.992567057008	26.5777312264821	26.4970134255836	NA	24.9044909335496	27.5098280296851
P02751	22.5947993171845	24.4859118349869	27.0329665215067	27.3842628334224	25.375639248432	NA	28.8596427422773	31.5251931190302
P02753	26.0142285855805	22.7942579931329	27.7274783459867	25.9402885023396	26.8355708856079	17.7192016263899	26.3747442043182	28.3882104679663
P02760	28.0088649845901	25.9841800905104	27.4082742759924	28.0024945143097	28.4464009531313	23.7972894697474	28.2146106071572	30.1699733086493
P02763	29.5761819752435	26.7581170566151	30.9359997352081	30.2102503268835	30.8631186720336	25.5112012992667	30.7661186256358	32.7242572045306
P02765	30.4393632095229	26.7927795727813	30.520845184414	28.4508509843553	29.5606883639626	26.5788830788713	29.9308639563476	31.0229378361198
P02766	29.5660710856805	28.1767884904043	30.6229631478623	29.0232419608609	29.2353721447739	27.474368302005	29.5888334193324	29.9018182907566
P02768	38.6011526326871	36.4588470201024	39.0600211133257	37.3764863870661	38.2744766031158	35.3587831874138	38.4161633502319	39.4168121987713
P02774	30.5515133949819	28.0527912391661	31.3115425208534	29.3785897872511	30.663227018076	26.4381102160214	30.1852978926308	32.2403626365407
P02787	34.2542713412187	33.3484980125378	34.356653312567	33.3229464316393	34.2134985962796	32.1985600237387	33.8351680227897	33.9780957804763
P02790	32.2941151671532	28.3185950074458	31.686623040418	29.941956804636	31.7172662339325	26.4680256163036	29.5960869646293	32.6543334165771
P04004	28.948599649852	26.6374082752079	29.2263960590606	26.1515888997705	28.0565169960053	24.1226574026117	28.431812935913	29.9707618091716
P04196	26.4285900689811	24.9744755093559	28.6125257951067	27.3146680125523	28.0920451057371	22.4460191078634	27.6739116931653	30.7918020161831
P04217	29.2892305312641	25.690351427838	29.0459355942762	28.6116467354755	29.6148790370434	23.3575648906753	28.4177600154269	31.6190317391957
P05090	24.7270238413683	23.7920348278413	23.0561117689783	22.7213604091488	24.7520028534002	22.9854271325641	24.8674525768122	27.8557872490727
P05155	28.0852219281177	24.7659258425954	27.0293900244953	26.3681135569656	27.6258916294496	NA	26.9537144121944	30.0446595527666
P05156	25.6466657126545	26.163864769343	26.5588689773012	24.8124499665618	26.1435541755994	24.3902130486998	26.9087339886738	27.3788998020166
P05452	23.0479166896765	21.8984788707344	22.6099334921084	22.5895743462373	24.1286476222702	NA	21.1876130431506	25.6317585686357
P06396	28.0835998401316	27.2444515246085	28.9602482178287	27.0206217414806	27.9110795092125	25.8651412075852	28.2768407404159	29.8999473706947
P06727	29.4073222627191	26.5065480250885	29.1419233376947	27.5343787634259	29.6734399929679	21.6900849578717	29.3431854781939	31.8130649541343
P07339	25.0835896963445	25.7817178932851	23.2850330174796	25.9421022697516	25.9179339929738	24.4908768218647	22.0802098762631	24.0901479644114
P07360	22.9185801232113	19.3963831892705	22.8970758299433	21.3431032842842	24.804988072759	NA	24.6277850033806	25.9265781417586
P07998	25.6520385784668	24.8866953505855	22.4194921886279	25.5330571040663	24.9755254421144	23.7670884707111	24.8143583259764	25.6609581912727
P08185	25.6067917223185	21.6268052141567	25.5030026852007	24.7721325113743	26.0655430139324	21.846056555242	25.3039287066254	28.2403171392909
P08603	26.8101713108432	25.3654961275162	27.3350067323325	26.9532703693959	28.3831506121922	20.2928877708814	28.7513644645049	31.860642005201
P08697	25.890434438835	24.7197322263619	26.2185420998512	23.7901464182316	25.7690829744846	23.2414432293609	25.8711712896802	27.4295800317502
P0C0L5	30.274309968464	28.2496142018905	29.58348131397	29.296950539567	30.6976004824398	25.9974424160931	30.9189747118378	32.5649271199613
P0DOX2	26.8055047753178	24.5326113279225	25.9358452252021	25.1802931413865	27.0179702152042	23.1756031517179	26.3292517578885	29.580339574783
P0DOX5	31.5790269957791	29.1811324234707	34.0963183995723	31.0332160193549	31.1511606377285	28.6121742355268	32.8774512928041	34.9831598893252
P0DOX7	28.1941802486694	25.0527083351872	30.614475395164	28.2326988998425	28.5337477849959	23.2766810334598	29.1019944195967	31.5708188240411
P0DOX8	26.9039165894037	27.0188192339375	29.5437736060191	26.5262514695657	27.6557413194656	23.8715473342649	27.6658039864942	30.8109220721348
P0DOY3	28.9427399052513	28.6289879533563	31.4115003689913	28.6812704265901	29.857434508686	28.503889837301	31.1481931875479	33.3022559761314
P10451	27.633048317577	28.5325593117324	27.7649014481968	25.9667305667653	26.0115226193876	25.6647873119266	27.1786416024448	26.5927766008867
P10643	25.8023771267948	22.829873678819	25.5854597888315	22.6773007007988	24.878673620892	20.7213395466342	25.6212032013279	27.9588111052979
P10745	30.0296006522847	29.062602367488	29.9461470342471	29.049029861503	29.1708329369555	26.7983529391015	26.8709127021587	28.0204627872552
P10909	30.6978490015827	29.8220000615801	30.796915214141	29.9766456212591	30.9942893364892	28.0302849803048	30.5011394071096	31.8752921445182
P13611	24.7659258425954	25.732106132616	24.5882937393454	26.8833195346114	25.6267829384846	20.5871951708241	22.3182967584492	NA
P19652	27.6540345937953	24.6256129824104	28.8228662302433	27.4454540439199	28.7924693091098	21.2271740579122	27.8028577971359	30.2045481975001
P19823	27.9912915696221	24.1220254038978	28.2148421682448	28.0590470894224	28.5835889095281	23.0496292256958	27.2014432918066	30.551605067423
P19827	26.5428590046885	21.22311319253	26.999809430637	28.2539474359824	28.6024726220745	22.02113451439	26.3307225694996	30.2509019897083
P22352	26.8733791492819	26.0209819728997	25.6457316449182	26.511879905893	27.4517550641054	23.6650313791716	27.7486801421199	28.759514586155
