dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
1	Data7	NC1	A0A024R644	0.309518166054145	NC	vitreous	Yes	Orbitrap Fusion
2	Data7	NC1	A0A075B6H7	-0.781118654138463	NC	vitreous	Yes	Orbitrap Fusion
3	Data7	NC1	A0A075B6H9	-0.351354450115756	NC	vitreous	Yes	Orbitrap Fusion
4	Data7	NC1	A0A075B6I0	-0.144448656597754	NC	vitreous	Yes	Orbitrap Fusion
5	Data7	NC1	A0A075B6I1	-0.583044677654559	NC	vitreous	Yes	Orbitrap Fusion
6	Data7	NC1	A0A075B6I5	0.410811007024489	NC	vitreous	Yes	Orbitrap Fusion
7	Data7	NC1	A0A075B6I8	-0.963011295064144	NC	vitreous	Yes	Orbitrap Fusion
8	Data7	NC1	A0A075B6I9	0.454935121254924	NC	vitreous	Yes	Orbitrap Fusion
9	Data7	NC1	A0A075B6J0	-0.146595071172296	NC	vitreous	Yes	Orbitrap Fusion
10	Data7	NC1	A0A075B6J3	-1.12668180638165	NC	vitreous	Yes	Orbitrap Fusion
11	Data7	NC1	A0A075B6K1	-0.995732872951265	NC	vitreous	Yes	Orbitrap Fusion
12	Data7	NC1	A0A075B6K3	0.152365235630486	NC	vitreous	Yes	Orbitrap Fusion
13	Data7	NC1	A0A075B6K4	0.0424008626300267	NC	vitreous	Yes	Orbitrap Fusion
14	Data7	NC1	A0A075B6K5	-0.474974405886029	NC	vitreous	Yes	Orbitrap Fusion
15	Data7	NC1	A0A075B6L0	1.70557721694838	NC	vitreous	Yes	Orbitrap Fusion
16	Data7	NC1	A0A075B6N7	0.0809999675365311	NC	vitreous	Yes	Orbitrap Fusion
17	Data7	NC1	A0A075B6Q5	-0.65216166542461	NC	vitreous	Yes	Orbitrap Fusion
18	Data7	NC1	A0A075B6R9	0.361856721547042	NC	vitreous	Yes	Orbitrap Fusion
19	Data7	NC1	A0A075B6S5	-1.45579312605901	NC	vitreous	Yes	Orbitrap Fusion
20	Data7	NC1	A0A075B6S9	-1.76729680386841	NC	vitreous	Yes	Orbitrap Fusion
21	Data7	NC1	A0A075B7B8	0.0501887948137266	NC	vitreous	Yes	Orbitrap Fusion
22	Data7	NC1	A0A075B7E8	0.352080497210902	NC	vitreous	Yes	Orbitrap Fusion
23	Data7	NC1	A0A087WSX4	-2.67317836383454	NC	vitreous	Yes	Orbitrap Fusion
24	Data7	NC1	A0A087WSY6	0.230909588741177	NC	vitreous	Yes	Orbitrap Fusion
25	Data7	NC1	A0A087WTF6	-0.413663230454582	NC	vitreous	Yes	Orbitrap Fusion
26	Data7	NC1	A0A087WV23	-0.934769757931435	NC	vitreous	Yes	Orbitrap Fusion
27	Data7	NC1	A0A087WV47	1.13094398505216	NC	vitreous	Yes	Orbitrap Fusion
28	Data7	NC1	A0A087WW89	0.727413973502987	NC	vitreous	Yes	Orbitrap Fusion
29	Data7	NC1	A0A087WWV8	-0.0368966283569331	NC	vitreous	Yes	Orbitrap Fusion
30	Data7	NC1	A0A087WX77	1.25057912047598	NC	vitreous	Yes	Orbitrap Fusion
31	Data7	NC1	A0A087WXL8	1.24688548498114	NC	vitreous	Yes	Orbitrap Fusion
32	Data7	NC1	A0A087WYC5	2.15556774751071	NC	vitreous	Yes	Orbitrap Fusion
33	Data7	NC1	A0A087WYJ9	1.21174594987273	NC	vitreous	Yes	Orbitrap Fusion
34	Data7	NC1	A0A087WYL5	-0.106987702143342	NC	vitreous	Yes	Orbitrap Fusion
35	Data7	NC1	A0A087WZ82	-0.939439401575354	NC	vitreous	Yes	Orbitrap Fusion
36	Data7	NC1	A0A087WZE4	-1.08424293773624	NC	vitreous	Yes	Orbitrap Fusion
37	Data7	NC1	A0A087WZW8	1.69053509800304	NC	vitreous	Yes	Orbitrap Fusion
38	Data7	NC1	A0A087WZW9	-1.13660950058183	NC	vitreous	Yes	Orbitrap Fusion
39	Data7	NC1	A0A087X0P6	0.907051942547049	NC	vitreous	Yes	Orbitrap Fusion
40	Data7	NC1	A0A087X1C7	-0.700332058746201	NC	vitreous	Yes	Orbitrap Fusion
41	Data7	NC1	A0A087X1L7	-0.686414581037092	NC	vitreous	Yes	Orbitrap Fusion
42	Data7	NC1	A0A096LPE2	0.926204669331523	NC	vitreous	Yes	Orbitrap Fusion
43	Data7	NC1	A0A0A0MQS6	NA	NC	vitreous	Yes	Orbitrap Fusion
44	Data7	NC1	A0A0A0MQU6	-0.352497667979274	NC	vitreous	Yes	Orbitrap Fusion
45	Data7	NC1	A0A0A0MRJ7	0.699756341315108	NC	vitreous	Yes	Orbitrap Fusion
46	Data7	NC1	A0A0A0MS11	-0.057875004775318	NC	vitreous	Yes	Orbitrap Fusion
47	Data7	NC1	A0A0A0MS13	0.764466204133579	NC	vitreous	Yes	Orbitrap Fusion
48	Data7	NC1	A0A0A0MS14	-0.601731225014053	NC	vitreous	Yes	Orbitrap Fusion
49	Data7	NC1	A0A0A0MS15	0.536411458915216	NC	vitreous	Yes	Orbitrap Fusion
50	Data7	NC1	A0A0A0MS64	-0.634235091053223	NC	vitreous	Yes	Orbitrap Fusion
51	Data7	NC1	A0A0A0MT36	-0.200100857907807	NC	vitreous	Yes	Orbitrap Fusion
52	Data7	NC1	A0A0A0MT71	NA	NC	vitreous	Yes	Orbitrap Fusion
53	Data7	NC1	A0A0A0MT74	-0.898113086851266	NC	vitreous	Yes	Orbitrap Fusion
54	Data7	NC1	A0A0A0MTQ4	-1.28625817478098	NC	vitreous	Yes	Orbitrap Fusion
55	Data7	NC1	A0A0A0MTS2	-0.379272487093107	NC	vitreous	Yes	Orbitrap Fusion
56	Data7	NC1	A0A0A6YY99	-0.590141998361524	NC	vitreous	Yes	Orbitrap Fusion
57	Data7	NC1	A0A0B4J1U2	-1.43876284997063	NC	vitreous	Yes	Orbitrap Fusion
58	Data7	NC1	A0A0B4J1U3	-1.0285614768014	NC	vitreous	Yes	Orbitrap Fusion
59	Data7	NC1	A0A0B4J1V0	-0.211928871054904	NC	vitreous	Yes	Orbitrap Fusion
60	Data7	NC1	A0A0B4J1V2	0.169458206008926	NC	vitreous	Yes	Orbitrap Fusion
61	Data7	NC1	A0A0B4J1V4	-1.19563662519755	NC	vitreous	Yes	Orbitrap Fusion
62	Data7	NC1	A0A0B4J1V5	0.887273861970255	NC	vitreous	Yes	Orbitrap Fusion
63	Data7	NC1	A0A0B4J1V7	-0.299080259358893	NC	vitreous	Yes	Orbitrap Fusion
64	Data7	NC1	A0A0B4J1Y8	-0.194527941275212	NC	vitreous	Yes	Orbitrap Fusion
65	Data7	NC1	A0A0B4J1Z4	0.00326784829699612	NC	vitreous	Yes	Orbitrap Fusion
66	Data7	NC1	A0A0B4J231	1.30776883463157	NC	vitreous	Yes	Orbitrap Fusion
67	Data7	NC1	A0A0B4J278	-0.748546861376954	NC	vitreous	Yes	Orbitrap Fusion
68	Data7	NC1	A0A0B4J2H3	-0.458395706110161	NC	vitreous	Yes	Orbitrap Fusion
69	Data7	NC1	A0A0C4DFX3	-1.04955721639921	NC	vitreous	Yes	Orbitrap Fusion
70	Data7	NC1	A0A0C4DFZ2	-0.0689627865715945	NC	vitreous	Yes	Orbitrap Fusion
71	Data7	NC1	A0A0C4DG49	-0.777949513510687	NC	vitreous	Yes	Orbitrap Fusion
72	Data7	NC1	A0A0C4DGB6	-0.356848305380148	NC	vitreous	Yes	Orbitrap Fusion
73	Data7	NC1	A0A0C4DH25	-0.312957642778795	NC	vitreous	Yes	Orbitrap Fusion
74	Data7	NC1	A0A0C4DH31	-0.853278561907077	NC	vitreous	Yes	Orbitrap Fusion
75	Data7	NC1	A0A0C4DH34	0.28646514105767	NC	vitreous	Yes	Orbitrap Fusion
76	Data7	NC1	A0A0C4DH35	-0.101004890311777	NC	vitreous	Yes	Orbitrap Fusion
77	Data7	NC1	A0A0C4DH36	-0.17623525585229	NC	vitreous	Yes	Orbitrap Fusion
78	Data7	NC1	A0A0C4DH37	-1.74865045620351	NC	vitreous	Yes	Orbitrap Fusion
79	Data7	NC1	A0A0C4DH38	0.895106381489873	NC	vitreous	Yes	Orbitrap Fusion
80	Data7	NC1	A0A0C4DH39	0.358378218561669	NC	vitreous	Yes	Orbitrap Fusion
81	Data7	NC1	A0A0C4DH43	-0.523574513331873	NC	vitreous	Yes	Orbitrap Fusion
82	Data7	NC1	A0A0C4DH67	-0.347185356015942	NC	vitreous	Yes	Orbitrap Fusion
83	Data7	NC1	A0A0D9SF98	-0.271653514028183	NC	vitreous	Yes	Orbitrap Fusion
84	Data7	NC1	A0A0G2JMB2	0.414110518861199	NC	vitreous	Yes	Orbitrap Fusion
85	Data7	NC1	A0A0G2JMI3	NA	NC	vitreous	Yes	Orbitrap Fusion
86	Data7	NC1	A0A0G2JNK4	-1.03867300301886	NC	vitreous	Yes	Orbitrap Fusion
87	Data7	NC1	A0A0G2JPD4	1.35741446922293	NC	vitreous	Yes	Orbitrap Fusion
88	Data7	NC1	A0A0G2JRQ6	0.198302082263635	NC	vitreous	Yes	Orbitrap Fusion
89	Data7	NC1	A0A0G2JSC0	-0.514178396729531	NC	vitreous	Yes	Orbitrap Fusion
90	Data7	NC1	A0A0J9YX35	0.259440065946816	NC	vitreous	Yes	Orbitrap Fusion
91	Data7	NC1	A0A0J9YXX1	-0.554759144641499	NC	vitreous	Yes	Orbitrap Fusion
92	Data7	NC1	A0A0J9YXX4	-0.373194631104379	NC	vitreous	Yes	Orbitrap Fusion
93	Data7	NC1	A0A0J9YY99	0.885743300808119	NC	vitreous	Yes	Orbitrap Fusion
94	Data7	NC1	A0A0U1RRH7	-0.343359765453675	NC	vitreous	Yes	Orbitrap Fusion
95	Data7	NC1	A0A0U1RRJ0	1.37219675823516	NC	vitreous	Yes	Orbitrap Fusion
96	Data7	NC1	A0M8Q6	0.0879552230942672	NC	vitreous	Yes	Orbitrap Fusion
97	Data7	NC1	A6NLU5	-0.912631210583247	NC	vitreous	Yes	Orbitrap Fusion
98	Data7	NC1	A6PVI2	-0.674396187747581	NC	vitreous	Yes	Orbitrap Fusion
99	Data7	NC1	A8MV23-2	-0.145755966639804	NC	vitreous	Yes	Orbitrap Fusion
100	Data7	NC1	B0YIW2	0.0905302242370896	NC	vitreous	Yes	Orbitrap Fusion
